name,desc,latitude,longitude
launch,NA,42.180116,-85.556282
AUS-1,S,42.167962,-85.564514
AUS-2,S,42.164396,-85.56423
AUS-3,B,42.168972,-85.55908
AUS-4,S,42.170441,-85.555148
AUS-5,S,42.168217,-85.554514
AUS-6,S,42.166986,-85.553006
AUS-7,S,42.166687,-85.550662
AUS-8,S,42.169734,-85.554421
AUS-9,S,42.175782,-85.552922
AUS-10,S,42.176899,-85.549782
AUS-11,S,42.172805,-85.548355
AUS-12,S,42.169339,-85.545061
AUS-13,B,42.167916,-85.541804
AUS-14,B,42.16667,-85.540284
AUS-15,S,42.168342,-85.540387
AUS-16,B,42.170393,-85.539653
AUS-17,S,42.172491,-85.538907
AUS-18,B,42.168915,-85.541602
AUS-19,B,42.169319,-85.542324
AUS-20,S,42.175874,-85.547673
AUS-21,S,42.177129,-85.547798
AUS-22,S,42.178208,-85.54824
AUS-23,S,42.180298,-85.547554
AUS-24,S,42.182703,-85.54525
AUS-25,S,42.184364,-85.543352
AUS-26,S,42.188391,-85.546241
AUS-27,S,42.180015,-85.550697
AUS-28,B,42.181174,-85.551077
AUS-29,S,42.183525,-85.551985
AUS-30,S,42.186028,-85.550677
AUS-31,S,42.186305,-85.552015
AUS-32,S,42.188393,-85.55279
AUS-33,B,42.1835,-85.554225
AUS-34,S,42.184272,-85.554882
AUS-35,S,42.187498,-85.557112
AUS-36,B,42.187507,-85.558165
AUS-37,B,42.183919,-85.557813
AUS-38,B,42.182352,-85.556121
AUS-39,B,42.181957,-85.561704
AUS-40,S,42.180447,-85.559498
