lake,gear,sample,lat,long,Alosa_pseudoharengus,Ambloplites_rupestris,Ameiurus_melas,Ameiurus_natalis,Ameiurus_nebulosus,Amia_calva,Aplodinotus_grunniens,Catostomus_commersonii,Chrosomus_eos,Coregonus_artedi,Coregonus_clupeaformis,Cottidae,Cottus_cognatus,Culaea_inconstans,Cyprinella_spiloptera,Cyprinus_carpio,Dorosoma_cepedianum,Erimyzon_sucetta,Esox_americanus,Esox_lucius,Esox_masquinongy,Etheostoma_caeruleum,Etheostoma_exile,Etheostoma_nigrum,Fundulus_diaphanus,Hypentelium_nigricans,Ichthyomyzon_castaneus,Ictalurus_punctatus,Labidesthes_sicculus,Lepisosteus_oculatus,Lepisosteus_osseus,Lepomis_cyanellus,Lepomis_gibbosus,Lepomis_gulosus,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lota_lota,Luxilus_cornutus,Micropterus_dolomieu,Micropterus_salmoides,Morone_americana,Moxostoma_anisurum,Moxostoma_erythrurum,Moxostoma_macrolepidotum,Moxostoma_valenciennesi,Neogobius_melanostomus,Nocomis_biguttatus,Notemigonus_crysoleucas,Notropis_atherinoides,Notropis_heterodon,Notropis_heterolepis,Notropis_hudsonius,Notropis_stramineus,Notropis_volucellus,Noturus_gyrinus,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Perca_flavescens,Percina_caprodes,Petromyzon_marinus,Pimephales_notatus,Pomoxis_nigromaculatus,Pungitius_pungitius,Rhinichthys_atratulus,Rhinichthys_cataractae,Salmo_salar,Salmo_trutta,Salvelinus_fontinalis,Salvelinus_fontinalis_._Salvelinus_namaycush,Salvelinus_namaycush,Sander_vitreus,Semotilus_atromaculatus,Umbra_limi,group,dist2trad,Carpiodes_carpio,Mylopharyngodon_piceus,Cottus_bairdii,Percina_maculata,Osmerus_mordax,Etheostoma_spectabile,Carassius_auratus
Austin Lake,surface,AUS_01,42.172549,-85.555731,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,1692,0,0,NA,0,0,0,0,0,767,NA,NA,498,NA,NA,NA,0,NA,0,3933,NA,NA,NA,NA,0,512,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_02,42.171633,-85.554749,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,15,304,0,NA,NA,0,NA,NA,NA,0,NA,0,2371,NA,NA,NA,NA,0,941,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,surface,AUS_03,42.172578,-85.553855,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,0,942,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,surface,AUS_04,42.172077,-85.552223,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,597,NA,NA,NA,0,NA,0,2778,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,surface,AUS_05,42.168736,-85.55256,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,157,NA,NA,NA,0,NA,0,1977,NA,NA,NA,NA,0,409,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,surface,AUS_06,42.169328,-85.562576,NA,847,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,43,0,172,NA,NA,0,NA,NA,NA,0,NA,0,8080,NA,NA,NA,NA,0,1557,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,357,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_07,42.169106,-85.562246,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,70,0,0,NA,NA,0,NA,NA,NA,0,NA,0,5344,NA,NA,NA,NA,0,1547,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,180,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,surface,AUS_08,42.163669,-85.564153,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,1066,0,NA,NA,1160,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,1428,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_09,42.16693,-85.557918,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,813,0,0,NA,0,0,0,62,0,0,NA,NA,831,NA,NA,NA,0,NA,0,1449,NA,NA,NA,NA,0,1887,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
Austin Lake,surface,AUS_10,42.165792,-85.555365,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,756,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,0,3501,NA,NA,NA,NA,0,213,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
