lake,gear,sample,lat,long,Alosa_pseudoharengus,Ambloplites_rupestris,Ameiurus_melas,Ameiurus_natalis,Ameiurus_nebulosus,Amia_calva,Aplodinotus_grunniens,Catostomus_commersonii,Chrosomus_eos,Coregonus_artedi,Coregonus_clupeaformis,Cottidae,Cottus_cognatus,Culaea_inconstans,Cyprinella_spiloptera,Cyprinus_carpio,Dorosoma_cepedianum,Erimyzon_sucetta,Esox_americanus,Esox_lucius,Esox_masquinongy,Etheostoma_caeruleum,Etheostoma_exile,Etheostoma_nigrum,Fundulus_diaphanus,Hypentelium_nigricans,Ichthyomyzon_castaneus,Ictalurus_punctatus,Labidesthes_sicculus,Lepisosteus_oculatus,Lepisosteus_osseus,Lepomis_cyanellus,Lepomis_gibbosus,Lepomis_gulosus,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lota_lota,Luxilus_cornutus,Micropterus_dolomieu,Micropterus_salmoides,Morone_americana,Moxostoma_anisurum,Moxostoma_erythrurum,Moxostoma_macrolepidotum,Moxostoma_valenciennesi,Neogobius_melanostomus,Nocomis_biguttatus,Notemigonus_crysoleucas,Notropis_atherinoides,Notropis_heterodon,Notropis_heterolepis,Notropis_hudsonius,Notropis_stramineus,Notropis_volucellus,Noturus_gyrinus,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Perca_flavescens,Percina_caprodes,Petromyzon_marinus,Pimephales_notatus,Pomoxis_nigromaculatus,Pungitius_pungitius,Rhinichthys_atratulus,Rhinichthys_cataractae,Salmo_salar,Salmo_trutta,Salvelinus_fontinalis,Salvelinus_fontinalis_._Salvelinus_namaycush,Salvelinus_namaycush,Sander_vitreus,Semotilus_atromaculatus,Umbra_limi,group,dist2trad,Acipenser_fulvescens,Coregonus_spp,Notropis_spp,Rhinichthys_obtusus,Pimephales_promelas,Ictiobus_cyprinellus,Percopsis_omiscomaycus,Percina_maculata,Noturus_flavus,Phoxinus_eos,Osmerus_mordax,Pomoxis_annularis,Phoxinus_neogaeus,Margariscus_margarita,Carassius_auratus,Hybognathus_hankinsoni,Alosa_spp,Ameiurus_spp,Luxilus_spp,Lepisosteus_spp,Cottus_spp,Oncorhynchus_spp,Salmo_spp,Ctenopharyngodon_spp,Sander_spp,Esox_spp,Ichthyomyzon_spp,Moxostoma_spp,Coregonus_pidschian,Noturus_miurus
Austin Lake,surface,AUS_01,42.172549,-85.555731,NA,1330,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1869,0,0,NA,0,0,0,268,0,0,0,NA,1441,104,NA,NA,0,1045,0,6213,0,0,0,NA,437,836,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,6048,0,0,932,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_02,42.171633,-85.554749,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,464,0,0,NA,0,0,0,0,0,0,0,NA,2514,382,NA,NA,0,0,0,3636,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,6048,0,0,2781,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_03,42.172578,-85.553855,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,189,0,0,NA,0,130,0,0,0,0,0,NA,0,89,NA,NA,0,0,0,847,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,5069,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_04,42.172077,-85.552223,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1459,0,0,NA,0,0,0,0,0,0,0,NA,0,391,NA,NA,0,515,0,6217,0,0,0,NA,0,1123,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,3355,0,0,1151,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_05,42.168736,-85.55256,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,297,0,0,NA,0,0,0,0,0,0,0,NA,0,505,NA,NA,0,0,0,6228,0,0,0,NA,0,407,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,4839,0,0,0,510,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_06,42.169328,-85.562576,NA,430,NA,NA,NA,308,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,991,0,0,0,NA,0,464,NA,NA,0,0,0,13520,0,0,0,NA,0,4407,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,3462,0,0,3451,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_07,42.169106,-85.562246,NA,1380,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,860,0,97,0,NA,638,93,NA,NA,0,0,0,4059,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,3479,0,0,1765,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_08,42.163669,-85.564153,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,1300,626,NA,NA,0,0,0,3620,0,0,0,NA,110,3073,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,1707,0,0,1483,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_09,42.16693,-85.557918,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1104,0,0,NA,0,0,0,621,0,0,0,NA,590,0,NA,NA,0,0,0,2699,0,0,0,NA,0,2139,0,NA,NA,NA,NA,0,0,0,0,0,132,0,NA,NA,0,NA,NA,4341,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_10,42.165792,-85.555365,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,2130,0,0,NA,0,0,0,0,0,328,0,NA,0,57,NA,NA,0,0,0,4965,0,0,0,NA,0,1505,0,NA,NA,NA,NA,0,0,0,0,0,679,0,NA,NA,0,NA,NA,3186,0,0,1411,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
