"lake","gear","species","detect"
"Brevoort Lake","boomshocker","Amia_calva",0
"Brevoort Lake","small mesh fyke net","Amia_calva",0
"Brevoort Lake","small mesh fyke net","Amia_calva",0
"Brevoort Lake","boomshocker","Amia_calva",0
"Brevoort Lake","boomshocker","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","experimental gillnet","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",1
"Brevoort Lake","large mesh fyke net","Amia_calva",1
"Brevoort Lake","large mesh fyke net","Amia_calva",1
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",1
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","large mesh fyke net","Amia_calva",0
"Brevoort Lake","seine","Amia_calva",0
"Brevoort Lake","seine","Amia_calva",0
"Brevoort Lake","small mesh fyke net","Amia_calva",0
"Brevoort Lake","small mesh fyke net","Amia_calva",0
"Brevoort Lake","small mesh fyke net","Amia_calva",0
"Brevoort Lake","small mesh fyke net","Amia_calva",0
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",0
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",0
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","trap net","Amia_calva",1
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",1
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",1
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",1
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",1
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Brevoort Lake","benthic_12s","Amia_calva",0
"Brevoort Lake","surface_12s","Amia_calva",0
"Cass Lake","experimental gillnet","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","experimental gillnet","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",1
"Cass Lake","large mesh fyke net","Amia_calva",1
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",1
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",1
"Cass Lake","seine","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","small mesh fyke net","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","small mesh fyke net","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","small mesh fyke net","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","boomshocker","Amia_calva",0
"Cass Lake","boomshocker","Amia_calva",0
"Cass Lake","boomshocker","Amia_calva",1
"Cass Lake","experimental gillnet","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","large mesh fyke net","Amia_calva",1
"Cass Lake","large mesh fyke net","Amia_calva",1
"Cass Lake","large mesh fyke net","Amia_calva",0
"Cass Lake","seine","Amia_calva",0
"Cass Lake","seine","Amia_calva",0
"Cass Lake","seine","Amia_calva",0
"Cass Lake","seine","Amia_calva",0
"Cass Lake","small mesh fyke net","Amia_calva",0
"Cass Lake","small mesh fyke net","Amia_calva",0
"Cass Lake","small mesh fyke net","Amia_calva",0
"Cass Lake","small mesh fyke net","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",1
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","benthic_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
"Cass Lake","surface_12s","Amia_calva",0
