growthR,avgCC,avgwaterT,Dens,PP,fooda,,growth rate,make up the units
78.96664084,52.20793448,15.95227993,30.54716771,14.34333987,12.88062395,,CC,cloud cover %
42.92207148,55.8282004,13.21422081,60.96624486,7.368587854,12.542523,,water temp,Celsius
61.67159792,80.07233713,10.12077811,89.38870917,26.43278965,23.02121317,,Dens,ind per 1000m3
55.92250708,61.8419979,14.28791263,62.74960356,20.74985324,15.63093239,,PP,primary productivity in clorophyl a ug
103.406244,0.913602812,8.219817463,25.96890454,30.75342564,21.34143827,,fooda,"Food availability, using a species-specific index"
80.10895556,70.93164942,16.85624567,25.8831763,3.531922731,6.964041508,,,
55.60871217,71.01929439,19.01584711,49.06468234,2.478628085,10.81299085,,,
61.45828257,70.31974599,16.52530777,50.87221687,27.32070329,21.5359476,,,
29.01250339,56.50433842,9.703637608,96.36154431,14.13597448,16.91168679,,,
53.08489971,57.22455443,8.3067229,44.67906042,8.670915145,10.40736308,,,
64.32907501,29.51891429,11.38267217,62.1279619,29.80957686,23.23101468,,,
103.182398,29.8600154,14.9338824,20.76977685,33.72031686,22.98475011,,,
75.66154299,62.88852429,10.20106831,28.4224476,24.90409618,17.48494333,,,
74.05932977,14.71554285,9.227895376,61.30133528,22.90024692,16.85176692,,,
31.5691906,51.22973209,9.652283634,107.556105,28.57080019,21.11470947,,,
80.91594184,44.4289387,13.21450634,21.47699595,17.816296,14.80284848,,,
83.12440927,50.69346062,14.94340059,79.21740362,27.73666058,23.65655289,,,
39.68928658,90.46129882,17.40723065,99.45374756,3.117472203,9.130085755,,,
79.15754912,1.518046297,11.28329259,31.16251033,14.68660312,13.31288192,,,
79.91046912,90.55674688,11.18084379,22.21265398,12.64669009,12.89301229,,,
26.22872879,48.10454773,19.10134265,110.5627595,9.773173332,10.26206578,,,
85.28513808,93.34571913,12.84695095,49.00907656,30.59220449,21.28994099,,,
60.33535891,75.59547855,14.37584326,66.22302689,12.58087894,12.29767611,,,
96.17904355,63.34284993,15.28710503,24.22198896,13.13752529,16.51538735,,,
65.95869489,89.27361211,17.08228716,51.68249484,24.41141147,17.65897197,,,
50.3844507,14.68092194,14.51781908,95.13420628,27.12519885,20.12081314,,,
62.67438211,97.18548933,20.39572467,57.98547431,6.983881844,12.14550226,,,
51.98368027,28.29967656,14.18113682,89.4125036,8.757031579,12.82873605,,,
65.89387945,14.56100717,16.98853968,64.33753164,19.54005828,15.69291656,,,
35.10531621,73.62184012,12.91775695,101.9017104,18.90479598,18.76017094,,,
56.94129451,83.58320161,16.73486722,91.41178767,22.39244687,16.25958506,,,
69.61087202,80.11169466,13.61151758,90.41740029,27.55107146,21.38934972,,,
45.12653854,97.49850514,14.78625309,68.95155679,13.6922215,14.66180726,,,
71.9832631,7.790832408,6.471266651,46.44319059,9.842791268,12.4881148,,,
67.52645724,41.32856447,17.43986542,81.3962017,21.12258498,19.74089637,,,
